ticker,day0,data0,date1,data1,date10,data10
AAPL,2021-03-03,"[124.81, 122.06, 121.7, 126.22]",2021-03-04,"[121.75, 120.13, 118.69, 121.77]",2021-03-09,"[0, 0, 0, 0]"
C,2021-03-02,"[69.19, 68.91, 69, 69.2]",2021-03-03,"[69.49, 70.38, 70.55, 69.81]",2021-03-09,"[0, 0, 0, 0]"
AAPL,2021-02-26,"[122.59, 121.26, 121.76, 121.68]",2021-03-01,"[123.75, 127.79, 128.75, 124.3]",2021-03-08,"[120.93, 116.36, 116.84, 119]"
BLK,2021-02-26,"[697.79, 694.5, 694.5, 694]",2021-03-01,"[706.82, 719.2, 722.99, 702]",2021-03-08,"[699.56, 698.96, 698.85, 699.56]"
NFLX,2021-02-26,"[546.51, 538.85, 539.75, 542.01]",2021-03-01,"[545.5734, 550.64, 550.66, 547.34]",2021-03-08,"[514.46, 493.33, 495.94, 510.21]"
AAPL,2021-02-26,"[122.59, 121.26, 121.76, 121.68]",2021-03-01,"[123.75, 127.79, 128.75, 124.3]",2021-03-08,"[120.93, 116.36, 116.84, 119]"
BLK,2021-02-26,"[697.79, 694.5, 694.5, 694]",2021-03-01,"[706.82, 719.2, 722.99, 702]",2021-03-08,"[699.56, 698.96, 698.85, 699.56]"
NFLX,2021-02-26,"[546.51, 538.85, 539.75, 542.01]",2021-03-01,"[545.5734, 550.64, 550.66, 547.34]",2021-03-08,"[514.46, 493.33, 495.94, 510.21]"
AAPL,2021-03-03,"[124.81, 122.06, 121.7, 126.22]",2021-03-04,"[121.75, 120.13, 118.69, 121.77]",2021-03-09,"[0, 0, 0, 0]"
TSLA,2021-03-03,"[687.99, 653.2, 653.93, 699]",2021-03-04,"[655.8, 621.44, 600.1, 654.81]",2021-03-09,"[0, 0, 0, 0]"
AAPL,2021-03-02,"[128.41, 125.12, 125.59, 126.95]",2021-03-03,"[124.81, 122.06, 121.7, 126.22]",2021-03-09,"[0, 0, 0, 0]"
TROW,2021-03-02,"[168.85, 169.65, 169.65, 168.85]",2021-03-03,"[169.46, 169.58, 169.58, 169.7]",2021-03-09,"[0, 0, 0, 0]"
INFO,2021-03-03,"[90.86, 89.49, 90.8501, 91.25]",2021-03-04,"[89.8, 89.25, 89.21, 89.65]",2021-03-09,"[0, 0, 0, 0]"
AMC,2021-03-02,"[9.14, 8.93, 8.94, 9.15]",2021-03-03,"[8.95, 8.58, 8.48, 8.97]",2021-03-09,"[0, 0, 0, 0]"
C,2021-03-02,"[69.19, 68.91, 69, 69.2]",2021-03-03,"[69.49, 70.38, 70.55, 69.81]",2021-03-09,"[0, 0, 0, 0]"
GME,2021-03-02,"[116.93, 118.18, 120, 117.25]",2021-03-03,"[122.51, 124.18, 125, 120.11]",2021-03-09,"[0, 0, 0, 0]"
KOSS,2021-03-02,"[17.33, 16.19, 16.49, 17.67]",2021-03-03,"[16.93, 16.92, 16.71, 16.69]",2021-03-09,"[0, 0, 0, 0]"
BLK,2021-03-03,"[718.54, 701.49, 702.58, 716.35]",2021-03-04,"[693.4, 683.21, 684.58, 690]",2021-03-09,"[0, 0, 0, 0]"
NDAQ,2021-03-03,"[140.1, 136.71, 136.71, 140.14]",2021-03-04,"[137.626, 138, 138, 136.19]",2021-03-09,"[0, 0, 0, 0]"
EBAY,2021-03-02,"[58.635, 56.99, 57.25, 58.46]",2021-03-03,"[56.73, 54.6, 54.6, 57.46]",2021-03-09,"[0, 0, 0, 0]"
BAC,2021-03-01,"[35.52, 35.79, 35.87, 35.5]",2021-03-02,"[35.65, 35.53, 35.59, 35.54]",2021-03-09,"[0, 0, 0, 0]"
AMC,2021-03-02,"[9.14, 8.93, 8.94, 9.15]",2021-03-03,"[8.95, 8.58, 8.48, 8.97]",2021-03-09,"[0, 0, 0, 0]"
GME,2021-03-02,"[116.93, 118.18, 120, 117.25]",2021-03-03,"[122.51, 124.18, 125, 120.11]",2021-03-09,"[0, 0, 0, 0]"
AAPL,2021-03-02,"[128.41, 125.12, 125.59, 126.95]",2021-03-03,"[124.81, 122.06, 121.7, 126.22]",2021-03-09,"[0, 0, 0, 0]"
NDAQ,2021-03-02,"[141.58, 140.64, 140.64, 141.62]",2021-03-03,"[140.1, 136.71, 136.71, 140.14]",2021-03-09,"[0, 0, 0, 0]"
ROKU,2021-03-02,"[425.98, 389.67, 391.48, 429]",2021-03-03,"[395.01, 369.5, 366.05, 396.6]",2021-03-09,"[0, 0, 0, 0]"
TSLA,2021-03-02,"[718.28, 686.44, 688.79, 716.5]",2021-03-03,"[687.99, 653.2, 653.93, 699]",2021-03-09,"[0, 0, 0, 0]"
AAPL,2021-03-03,"[124.81, 122.06, 121.7, 126.22]",2021-03-04,"[121.75, 120.13, 118.69, 121.77]",2021-03-09,"[0, 0, 0, 0]"
ROKU,2021-03-03,"[395.01, 369.5, 366.05, 396.6]",2021-03-04,"[366, 359.95, 346, 362]",2021-03-09,"[0, 0, 0, 0]"
TSLA,2021-03-03,"[687.99, 653.2, 653.93, 699]",2021-03-04,"[655.8, 621.44, 600.1, 654.81]",2021-03-09,"[0, 0, 0, 0]"
AMC,2021-03-02,"[9.14, 8.93, 8.94, 9.15]",2021-03-03,"[8.95, 8.58, 8.48, 8.97]",2021-03-09,"[0, 0, 0, 0]"
GME,2021-03-02,"[116.93, 118.18, 120, 117.25]",2021-03-03,"[122.51, 124.18, 125, 120.11]",2021-03-09,"[0, 0, 0, 0]"
KOSS,2021-03-02,"[17.33, 16.19, 16.49, 17.67]",2021-03-03,"[16.93, 16.92, 16.71, 16.69]",2021-03-09,"[0, 0, 0, 0]"
AAPL,2021-03-02,"[128.41, 125.12, 125.59, 126.95]",2021-03-03,"[124.81, 122.06, 121.7, 126.22]",2021-03-09,"[0, 0, 0, 0]"
NDAQ,2021-03-02,"[141.58, 140.64, 140.64, 141.62]",2021-03-03,"[140.1, 136.71, 136.71, 140.14]",2021-03-09,"[0, 0, 0, 0]"
ROKU,2021-03-02,"[425.98, 389.67, 391.48, 429]",2021-03-03,"[395.01, 369.5, 366.05, 396.6]",2021-03-09,"[0, 0, 0, 0]"
TSLA,2021-03-02,"[718.28, 686.44, 688.79, 716.5]",2021-03-03,"[687.99, 653.2, 653.93, 699]",2021-03-09,"[0, 0, 0, 0]"
GME,2021-03-02,"[116.93, 118.18, 120, 117.25]",2021-03-03,"[122.51, 124.18, 125, 120.11]",2021-03-09,"[0, 0, 0, 0]"
MS,2021-03-01,"[78.05, 79.16, 79.41, 77.91]",2021-03-02,"[79.81, 80.79, 80.91, 78.85]",2021-03-09,"[0, 0, 0, 0]"
AMC,2021-03-02,"[9.14, 8.93, 8.94, 9.15]",2021-03-03,"[8.95, 8.58, 8.48, 8.97]",2021-03-09,"[0, 0, 0, 0]"
GME,2021-03-02,"[116.93, 118.18, 120, 117.25]",2021-03-03,"[122.51, 124.18, 125, 120.11]",2021-03-09,"[0, 0, 0, 0]"
BAC,2021-03-02,"[35.65, 35.53, 35.59, 35.54]",2021-03-03,"[35.97, 36.42, 36.55, 35.81]",2021-03-09,"[0, 0, 0, 0]"
C,2021-03-02,"[69.19, 68.91, 69, 69.2]",2021-03-03,"[69.49, 70.38, 70.55, 69.81]",2021-03-09,"[0, 0, 0, 0]"
