ticker,company name,short name,industry,exchange
A,Agilent Technologies Inc.,Agilent,Medical Diagnostics & Research,New York Stock Exchange
AA,Alcoa Corporation,Alcoa,Metals & Mining,New York Stock Exchange
AABA,Altaba Inc.,Altaba,Asset Management,Nasdaq Global Select
AAC,AAC Holdings Inc.,AAC,Health Care Providers,New York Stock Exchange
AADR,AdvisorShares Dorsey Wright ADR,AdvisorShares Dorsey Wright,,NYSE Arca
AAL,American Airlines Group Inc.,American Airlines,Airlines,Nasdaq Global Select
AAMC,Altisource Asset Management Corp Com,Altisource Asset Management,Asset Management,NYSE American
AAME,Atlantic American Corporation,Atlantic American,Insurance - Life,NASDAQ Global Market
AAN,Aaron's Inc.,Aaron's,Consulting & Outsourcing,New York Stock Exchange
AAOI,Applied Optoelectronics Inc.,Applied Optoelectronics,Semiconductors,NASDAQ Global Market
AAON,AAON Inc.,AAON,Building Materials,Nasdaq Global Select
AAP,Advance Auto Parts Inc W/I,Advance Auto Parts,Retail - Apparel & Specialty,New York Stock Exchange
AAPL,Apple Inc.,Apple,Computer Hardware,Nasdaq Global Select
AAT,American Assets Trust Inc.,American Assets Trust,REITs,New York Stock Exchange
AAU,Almaden Minerals Ltd.,Almaden Minerals,Metals & Mining,NYSE American
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide,Transportation & Logistics,Nasdaq Global Select
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund,,NASDAQ Global Market
AAXN,Axon Enterprise Inc.,Axon Enterprise,Aerospace & Defense,Nasdaq Global Select
AB,AllianceBernstein Holding L.P. Units,AllianceBernstein Holding Units,Asset Management,New York Stock Exchange
ABB,ABB Ltd,ABB,Industrial Products,New York Stock Exchange
ABBV,AbbVie Inc.,AbbVie,Drug Manufacturers,New York Stock Exchange
ABC,AmerisourceBergen Corporation,AmerisourceBergen,Medical Distribution,New York Stock Exchange
ABCB,Ameris Bancorp,Ameris Bancorp,Banks,Nasdaq Global Select
ABDC,Alcentra Capital Corp.,Alcentra Capital,Asset Management,Nasdaq Global Select
ABEO,Abeona Therapeutics Inc.,Abeona Therapeutics,Biotechnology,NASDAQ Capital Market
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),Ambev S.A. American Depositary Shares (Each representing 1),Beverages - Alcoholic,New York Stock Exchange
ABG,Asbury Automotive Group Inc,Asbury Automotive,Autos,New York Stock Exchange
ABIL,Ability Inc.,Ability,Communication Equipment,NASDAQ Capital Market
ABIO,ARCA biopharma Inc.,ARCA biopharma,Biotechnology,NASDAQ Capital Market
ABM,ABM Industries Incorporated,ABM Industries Incorporated,Business Services,New York Stock Exchange
ABMD,ABIOMED Inc.,ABIOMED,Medical Devices,Nasdaq Global Select
ABR,Arbor Realty Trust,Arbor Realty Trust,REITs,New York Stock Exchange
ABT,Abbott Laboratories,Abbott Laboratories,Medical Devices,New York Stock Exchange
ABTX,Allegiance Bancshares Inc.,Allegiance Bancshares,Banks,NASDAQ Global Market
ABUS,Arbutus Biopharma Corporation,Arbutus Biopharma,Biotechnology,Nasdaq Global Select
AC,Associated Capital Group Inc.,Associated Capital,Brokers & Exchanges,New York Stock Exchange
ACA,Arcosa Inc.,Arcosa,Engineering & Construction,New York Stock Exchange
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals,Biotechnology,Nasdaq Global Select
ACB,Aurora Cannabis Inc.,Aurora Cannabis,Drug Manufacturers,New York Stock Exchange
ACBI,Atlantic Capital Bancshares Inc.,Atlantic Capital Bancshares,Banks,Nasdaq Global Select
ACC,American Campus Communities Inc,American Campus Communities,REITs,New York Stock Exchange
ACCO,Acco Brands Corporation,Acco Brands,Industrial Products,New York Stock Exchange
ACER,Acer Therapeutics Inc.,Acer Therapeutics,Biotechnology,NASDAQ Capital Market
ACET,Aceto Corporation,Aceto,Drug Manufacturers,Nasdaq Global Select
ACGL,Arch Capital Group Ltd.,Arch Capital,Insurance,Nasdaq Global Select
ACH,Aluminum Corporation of China Limited American Depositary Shares,Aluminum of China Limited American Depositary Shares,Metals & Mining,New York Stock Exchange
ACHC,Acadia Healthcare Company Inc.,Acadia Healthcare Company,Health Care Providers,Nasdaq Global Select
ACHN,Achillion Pharmaceuticals Inc.,Achillion Pharmaceuticals,Biotechnology,Nasdaq Global Select
ACHV,Achieve Life Sciences Inc.,Achieve Life Sciences,Biotechnology,NASDAQ Capital Market
ACIA,Acacia Communications Inc.,Acacia Communications,Communication Equipment,Nasdaq Global Select
ACIM,SPDR MSCI ACWI IMI,SPDR MSCI ACWI IMI,,NYSE Arca
ACIU,AC Immune SA,AC Immune SA,Biotechnology,NASDAQ Global Market
ACIW,ACI Worldwide Inc.,ACI Worldwide,Application Software,Nasdaq Global Select
ACLS,Axcelis Technologies Inc.,Axcelis,Semiconductors,Nasdaq Global Select
ACM,AECOM,AECOM,Engineering & Construction,New York Stock Exchange
ACMR,ACM Research Inc.,ACM Research,Semiconductors,NASDAQ Global Market
